"spec" "x" "y" "age" "loc_id" "optional"
"296" "Magericyon_anceps" -4.66 40.37 9.25 "a5308" TRUE
"304" "Hippotherium_primigenium" 16.25 47.8 9.3 "a3598" TRUE
"305" "Hippotherium_primigenium" 16.54 48 9.3 "a3600" TRUE
"306" "Deinotherium_giganteum" 15.85 46.9 9.3 "a3596" TRUE
"307" "Deinotherium_giganteum" 16.07 47.72 9.3 "a3597" TRUE
"308" "Deinotherium_giganteum" 16.25 47.8 9.3 "a3598" TRUE
"309" "Deinotherium_giganteum" 15.87 47.87 9.3 "a3599" TRUE
"310" "Deinotherium_giganteum" 16.54 48 9.3 "a3600" TRUE
"311" "Deinotherium_giganteum" 16.54 48 9.3 "a3601" TRUE
"312" "Deinotherium_giganteum" 16.6 48.02 9.3 "a3602" TRUE
"313" "Deinotherium_giganteum" 15.63 48.05 9.3 "a3603" TRUE
"314" "Deinotherium_giganteum" 14.9 48.82 9.3 "a3604" TRUE
"315" "Deinotherium_giganteum" 15.25 48.83 9.3 "a3605" TRUE
"316" "Deinotherium_giganteum" 15.1 48.83 9.3 "a3606" TRUE
"317" "Deinotherium_giganteum" 15.63 48.86 9.3 "a3607" TRUE
"318" "Deinotherium_giganteum" 15.16 48.88 9.3 "a3608" TRUE
"319" "Deinotherium_giganteum" 15.7 48.91 9.3 "a3609" TRUE
"320" "Prodeinotherium_bavaricum" 16.07 47.72 9.3 "a6745" TRUE
"321" "Prodeinotherium_bavaricum" 15.73 48.91 9.3 "a6746" TRUE
"348" "Dissopsalis_carnifex" 73.08 29.96 9.427 "a3882" TRUE
"360" "Acerorhinus_zernowi" 31.98 40.97 9.45 "a89" TRUE
"361" "Dinocrocuta_senyureki" 31.98 40.97 9.45 "a89" TRUE
"362" "Palaeotragus_coelophrys" 31.98 40.97 9.45 "a89" TRUE
"363" "Pseudaelurus_quadridentatus" 31.98 40.97 9.45 "a89" TRUE
"364" "Acerorhinus_zernowi" 31.97 40.95 9.46 "a90" TRUE
"365" "Ictitherium_intuberculatum" 31.98 40.95 9.46 "a4996" TRUE
"366" "Palaeotragus_coelophrys" 31.97 40.95 9.46 "a90" TRUE
"379" "Dorcatherium_naui" -0.18 41.42 9.54 "a39" TRUE
"380" "Listriodon_splendens" -0.18 41.42 9.54 "a39" TRUE
"381" "Parachleuastochoerus_crusafonti" -0.18 41.42 9.54 "a39" TRUE
"382" "Parachleuastochoerus_steinheimensis" -0.18 41.42 9.54 "a39" TRUE
"383" "Propotamochoerus_palaeochoerus" -0.18 41.42 9.54 "a39" TRUE
"384" "Aceratherium_incisivum" -0.18 41.42 9.54 "a39" TRUE
"385" "Alicornops_simorrensis" -0.18 41.42 9.54 "a39" TRUE
"386" "Dihoplus_schleiermacheri" -0.18 41.42 9.54 "a39" TRUE
"387" "Lartetotherium_sansaniensis" -0.18 41.42 9.54 "a39" TRUE
"388" "Mesomephitis_medius" -0.18 41.42 9.54 "a39" TRUE
"389" "Trocharion_albanense" -0.18 41.42 9.54 "a39" TRUE
"390" "Trochictis_narcisoi" -0.18 41.42 9.54 "a39" TRUE
"391" "Micromeryx_flourensianus" -0.18 41.42 9.54 "a39" TRUE
"392" "Tetralophodon_longirostris" -0.18 41.42 9.54 "a39" TRUE
"393" "Machairodus_aphanistus" -0.18 41.42 9.54 "a39" TRUE
"394" "Hippotherium_primigenium" -0.18 41.42 9.54 "a39" TRUE
"395" "Deinotherium_giganteum" -0.18 41.42 9.54 "a39" TRUE
"396" "Chalicotherium_grande" -0.18 41.42 9.54 "a39" TRUE
"397" "Amphiprox_anocerus" -0.18 41.42 9.54 "a39" TRUE
"398" "Miotragocerus_pannoniae" -0.18 41.42 9.54 "a39" TRUE
"399" "Protragocerus_chantrei" -0.18 41.42 9.54 "a39" TRUE
"400" "Amphicyon_major" -0.18 41.42 9.54 "a39" TRUE
"403" "Hippopotamodon_antiquus" 49.13 40.97 9.55 "a3813" TRUE
"404" "Chilotherium_habereri" 92.15 47.41 9.55 "a3239" TRUE
"405" "Dinocrocuta_gigantea" 49.13 40.97 9.55 "a3813" TRUE
"406" "Gazella_schlosseri" 49.13 40.97 9.55 "a3813" TRUE
"423" "Dorcatherium_naui" 12.68 48.51 9.7 "a3895" TRUE
"424" "Ceratotherium_neumayri" 30.33 38.38 9.7 "a2946" TRUE
"425" "Chilotherium_habereri" 30.33 38.38 9.7 "a2946" TRUE
"426" "Deinotherium_giganteum" 22.64 42.27 9.7 "a3610" TRUE
"427" "Deinotherium_giganteum" 22.48 42.27 9.7 "a3611" TRUE
"428" "Deinotherium_giganteum" 22.65 42.27 9.7 "a3612" TRUE
"429" "Deinotherium_giganteum" 22.98 42.44 9.7 "a3613" TRUE
"430" "Deinotherium_giganteum" 25.39 42.92 9.7 "a3614" TRUE
"431" "Deinotherium_giganteum" 23.41 43.11 9.7 "a3615" TRUE
"432" "Deinotherium_giganteum" -0.25 43.55 9.7 "a3616" TRUE
"433" "Deinotherium_giganteum" -0.08 43.55 9.7 "a3617" TRUE
"434" "Deinotherium_giganteum" 0 43.72 9.7 "a3618" TRUE
"438" "Deinotherium_giganteum" 3.91 45.75 9.7 "a3622" TRUE
"439" "Deinotherium_giganteum" 15.77 46.6 9.7 "a3623" TRUE
"440" "Deinotherium_giganteum" 15.6 46.67 9.7 "a3624" TRUE
"441" "Deinotherium_giganteum" 15.77 46.67 9.7 "a3625" TRUE
"442" "Deinotherium_giganteum" 15.77 46.67 9.7 "a3626" TRUE
"443" "Deinotherium_giganteum" 15.77 46.67 9.7 "a3627" TRUE
"444" "Deinotherium_giganteum" 15.77 46.67 9.7 "a3628" TRUE
"445" "Deinotherium_giganteum" 15.77 46.67 9.7 "a3629" TRUE
"446" "Deinotherium_giganteum" 14.77 46.68 9.7 "a3630" TRUE
"447" "Deinotherium_giganteum" 14.77 46.68 9.7 "a3631" TRUE
"448" "Deinotherium_giganteum" 15.27 46.68 9.7 "a3632" TRUE
"449" "Deinotherium_giganteum" 14.77 46.68 9.7 "a3633" TRUE
"450" "Deinotherium_giganteum" 15.6 46.83 9.7 "a3634" TRUE
"451" "Deinotherium_giganteum" 14.46 46.88 9.7 "a3635" TRUE
"452" "Deinotherium_giganteum" 11.83 48.64 9.7 "a3636" TRUE
"453" "Deinotherium_giganteum" 11.23 48.8 9.7 "a3637" TRUE
"454" "Deinotherium_giganteum" 14.4 49.1 9.7 "a3638" TRUE
"455" "Deinotherium_giganteum" 11.22 49.8 9.7 "a3639" TRUE
"456" "Deinotherium_giganteum" 7.03 50.1 9.7 "a3640" TRUE
"457" "Deinotherium_giganteum" 10.04 50.29 9.7 "a3641" TRUE
"458" "Ictitherium_intuberculatum" 31.98 40.95 9.75 "a4997" TRUE
"459" "Ictitherium_intuberculatum" 31.98 40.95 9.75 "a4998" TRUE
"460" "Palaeotragus_coelophrys" 31.98 40.95 9.75 "a4998" TRUE
"467" "Dorcatherium_naui" 20.4 48.34 9.93 "a40" TRUE
"468" "Propotamochoerus_palaeochoerus" 20.4 48.34 9.93 "a40" TRUE
"469" "Aceratherium_incisivum" 20.4 48.34 9.93 "a40" TRUE
"470" "Lartetotherium_sansaniensis" 20.4 48.34 9.93 "a40" TRUE
"471" "Paralutra_jaegeri" 20.4 48.34 9.93 "a40" TRUE
"472" "Micromeryx_flourensianus" 20.4 48.34 9.93 "a40" TRUE
"473" "Simocyon_diaphorus" 20.4 48.34 9.93 "a40" TRUE
"474" "Tetralophodon_longirostris" 20.4 48.34 9.93 "a40" TRUE
"475" "Pseudaelurus_lorteti" 20.4 48.34 9.93 "a40" TRUE
"476" "Deinotherium_giganteum" 20.4 48.34 9.93 "a40" TRUE
